OpenLayersMapCode,Intermediate Geography,Total no. of SIMD crimes : 2004,Total no. of SIMD crimes : 2007/2008,"No. SIMD crimes per 10,000 : 2004","No. SIMD crimes per 10,000 : 2007/2008",Total no. of SIMD crimes of violence : 2004,Total no. of SIMD crimes of violence : 2007/2008,"No. SIMD crimes of violence per 10,000 : 2004","No. SIMD crimes of violence per 10,000 : 2007/2008",Total no. of SIMD drug offences : 2004,Total no. of SIMD drug offences : 2007/2008,"No. SIMD drug offences per 10,000 : 2004","No. SIMD drug offences per 10,000 : 2007/2008",Total no. of SIMD domestic housebreakings : 2004,Total no. of SIMD domestic housebreakings : 2007/2008,"No. SIMD domestic housebreakings per 10,000 : 2004","No. SIMD domestic housebreakings per 10,000 : 2007/2008",Total no. of SIMD minor assaults : 2004,Total no. of SIMD minor assaults : 2007/2008,"No. SIMD minor assaults per 10,000 : 2004","No. SIMD minor assaults per 10,000 : 2007/2008",Total no. of SIMD vandalisms etc : 2004,Total no. of SIMD vandalisms etc : 2007/2008,"No. SIMD vandalisms per 10,000 : 2004","No. SIMD vandalisms per 10,000 : 2007/2008"
S02000330,S02000330   Balerno,118,,207,,5,,9,,0,,0,,5,12,9,21,43,18,76,31,66,41,116,71
S02000331,S02000331   Bonaly and Pentlands,87,74,186,157,,,,,8,,17,,16,23,34,49,10,7,21,15,,41,,87
S02000332,S02000332   South East Bypass,70,60,235,202,,5,,17,,7,,24,9,12,30,40,18,13,60,44,30,23,101,77
S02000333,"S02000333   Gracemount, Southouse and Burdiehouse",643,626,"1,262","1,163",39,36,77,67,69,99,135,184,88,59,173,110,197,171,387,318,250,261,491,485
S02000334,S02000334   Mortonhall,98,73,356,271,5,,18,,,,,,28,10,102,37,21,21,76,78,,38,,141
S02000335,S02000335   Fairmilehead,68,69,136,133,,,,,0,,0,,10,,20,,9,13,18,25,,47,,91
S02000336,S02000336   Comiston and Swanston,141,79,271,152,5,,10,,13,,25,,15,7,29,14,41,24,79,46,68,45,131,87
S02000337,S02000337   Currie East,81,97,274,337,,,,,,,,,8,12,27,42,19,15,64,52,,63,,219
S02000338,S02000338   Hyvots and Gilmerton Dykes,247,191,658,524,15,17,40,47,31,6,83,16,23,33,61,91,64,45,171,124,115,90,306,247
S02000339,S02000339   Currie West,96,112,188,221,,,,,7,,14,,5,11,10,22,15,29,29,57,,63,,125
S02000340,S02000340   Baberton and Juniper Green,170,145,432,364,6,5,15,13,10,14,25,35,31,25,79,63,30,34,76,85,93,67,236,168
S02000341,S02000341   Oxgangs and Firrhill,387,378,684,648,17,17,30,29,15,25,27,43,30,30,53,51,132,112,233,192,193,194,341,333
S02000342,S02000342   Liberton East,105,89,304,265,,,,,,,,,27,18,78,54,17,14,49,42,57,50,165,149
S02000343,"S02000343   Ferniehill,  South Moredun and Craigour",309,300,802,758,12,16,31,40,39,12,101,30,12,13,31,33,73,82,189,207,173,177,449,447
S02000344,S02000344   Colinton and Kingsknowe,152,142,255,229,,,,,,,,,28,26,47,42,30,20,50,32,85,83,142,134
S02000345,S02000345   Moredun,287,244,921,777,11,16,35,51,19,52,61,166,32,14,103,45,92,72,295,229,133,90,427,287
S02000346,S02000346   Liberton West,108,95,364,305,7,,24,,5,,17,,36,16,121,51,17,13,57,42,44,56,148,180
S02000347,S02000347   Braids,76,46,223,139,,,,,,,,,16,7,47,21,4,9,12,27,,26,,79
S02000348,S02000348   Clovenstone and Drumbryden,861,"1,000","1,380","1,599",84,73,135,117,74,154,119,246,59,50,95,80,267,286,428,457,376,437,602,699
S02000349,S02000349   The Inch,273,387,571,800,16,15,33,31,5,42,10,87,24,23,50,48,74,90,155,186,155,217,324,449
S02000350,S02000350   Calders,299,393,692,899,37,26,86,59,20,66,46,151,16,25,37,57,63,99,146,226,163,177,377,405
S02000351,S02000351   Craiglockhart,181,146,299,229,9,,15,,13,,22,,31,33,51,52,24,31,40,49,104,77,172,121
S02000352,S02000352   Craighouse and South Morningside,85,92,200,214,,,,,14,,33,,21,9,49,21,11,17,26,40,,62,,144
S02000353,S02000353   Parkhead,201,273,622,849,14,17,43,53,8,15,25,47,29,36,90,112,47,44,146,137,103,162,319,504
S02000354,S02000354   Greendykes and Niddrie Mains,652,475,"2,415","1,715",27,20,100,72,164,50,607,181,30,29,111,105,193,119,715,430,237,258,878,932
S02000355,S02000355   Blackford,180,152,292,235,7,,11,,35,,57,,42,,68,,29,36,47,56,68,80,110,124
S02000356,S02000356   Longstone and Saughton Mains,640,409,"1,942","1,258",14,15,42,46,416,175,"1,262",538,29,23,88,71,77,82,234,252,105,114,319,351
S02000357,S02000357   Morningside,117,132,217,237,9,,17,,32,,59,,34,29,63,52,8,38,15,68,35,61,65,109
S02000358,S02000358   Broomhouse and Sighthill,611,604,"1,694","1,518",39,28,108,70,81,128,225,322,40,39,111,98,163,127,452,319,287,281,796,706
S02000359,S02000359   Hutchison and Moat,255,350,658,801,24,18,62,41,32,43,83,98,43,25,111,57,58,84,150,192,98,180,253,412
S02000360,S02000360   Merchiston and Greenhill,166,193,336,380,9,6,18,12,9,7,18,14,28,32,57,63,54,65,109,128,66,84,133,165
S02000361,S02000361   Grange,107,136,196,250,6,,11,,9,,16,,24,36,44,66,19,24,35,44,49,68,90,125
S02000362,S02000362   Niddrie,278,605,822,"1,701",10,33,30,93,68,87,201,245,20,61,59,172,69,113,204,318,110,311,325,875
S02000363,S02000363   South Gyle,172,204,348,417,11,10,22,20,10,13,20,27,23,7,47,14,48,44,97,90,79,130,160,266
S02000364,S02000364   Prestonfield,74,78,216,228,,,,,,,,,23,10,67,29,9,16,26,47,36,42,105,123
S02000365,S02000365   Shandon,138,125,289,251,6,,13,,,,,,27,16,57,32,24,30,50,60,,67,,134
S02000366,S02000366   Forrester Park and Broomhall,182,182,503,516,,11,,31,15,20,41,57,34,19,94,54,25,49,69,139,,83,,235
