OpenLayersMapCode,Intermediate Geography,"House sales, numbers : 1993","House sales, numbers : 1994","House sales, numbers : 1995","House sales, numbers : 1996","House sales, numbers : 1997","House sales, numbers : 1998","House sales, numbers : 1999","House sales, numbers : 2000","House sales, numbers : 2001","House sales, numbers : 2002","House sales, numbers : 2003","House sales, numbers : 2004","House sales, numbers : 2005","House sales, numbers : 2006","House sales, numbers : 2007","House sales, numbers : 2008","House sales, numbers : 2009","House sales, numbers : 2010","House sales, numbers : 2011","House sales, numbers : 2012","House sales, lower quartile price : 1993","House sales, lower quartile price : 1994","House sales, lower quartile price : 1995","House sales, lower quartile price : 1996","House sales, lower quartile price : 1997","House sales, lower quartile price : 1998","House sales, lower quartile price : 1999","House sales, lower quartile price : 2000","House sales, lower quartile price : 2001","House sales, lower quartile price : 2002","House sales, lower quartile price : 2003","House sales, lower quartile price : 2004","House sales, lower quartile price : 2005","House sales, lower quartile price : 2006","House sales, lower quartile price : 2007","House sales, lower quartile price : 2008","House sales, lower quartile price : 2009","House sales, lower quartile price : 2010","House sales, lower quartile price : 2011","House sales, lower quartile price : 2012","House sales, median price : 1993","House sales, median price : 1994","House sales, median price : 1995","House sales, median price : 1996","House sales, median price : 1997","House sales, median price : 1998","House sales, median price : 1999","House sales, median price : 2000","House sales, median price : 2001","House sales, median price : 2002","House sales, median price : 2003","House sales, median price : 2004","House sales, median price : 2005","House sales, median price : 2006","House sales, median price : 2007","House sales, median price : 2008","House sales, median price : 2009","House sales, median price : 2010","House sales, median price : 2011","House sales, median price : 2012","House sales, mean price : 1993","House sales, mean price : 1994","House sales, mean price : 1995","House sales, mean price : 1996","House sales, mean price : 1997","House sales, mean price : 1998","House sales, mean price : 1999","House sales, mean price : 2000","House sales, mean price : 2001","House sales, mean price : 2002","House sales, mean price : 2003","House sales, mean price : 2004","House sales, mean price : 2005","House sales, mean price : 2006","House sales, mean price : 2007","House sales, mean price : 2008","House sales, mean price : 2009","House sales, mean price : 2010","House sales, mean price : 2011","House sales, mean price : 2012","House sales, upper quartile : 1993","House sales, upper quartile : 1994","House sales, upper quartile : 1995","House sales, upper quartile : 1996","House sales, upper quartile : 1997","House sales, upper quartile : 1998","House sales, upper quartile : 1999","House sales, upper quartile : 2000","House sales, upper quartile : 2001","House sales, upper quartile : 2002","House sales, upper quartile : 2003","House sales, upper quartile : 2004","House sales, upper quartile : 2005","House sales, upper quartile : 2006","House sales, upper quartile : 2007","House sales, upper quartile : 2008","House sales, upper quartile : 2009","House sales, upper quartile : 2010","House sales, upper quartile : 2011","House sales, upper quartile : 2012"
S02000330,S02000330   Balerno,102,86,78,107,106,119,152,86,105,86,86,104,104,106,122,80,68,67,46,78,"47,000","50,500","53,000","51,000","59,000","75,000","60,000","60,000","70,000","83,005","98,882","117,705","127,000","149,151","157,500","167,475","150,254","148,000","135,000","145,000","74,644","80,000","106,000","81,000","128,565","140,126","111,056","114,500","138,000","141,550","190,000","170,998","280,500","226,075","305,000","279,000","230,000","238,000","283,000","248,650","91,104","100,367","116,085","102,524","127,463","141,527","139,041","133,441","172,715","179,525","216,282","224,271","288,342","279,968","333,860","320,046","255,775","269,005","313,320","279,657","122,050","130,000","145,000","141,500","170,000","195,000","191,925","193,276","250,000","247,000","279,500","297,500","363,082","375,000","430,000","408,500","345,000","345,000","415,995","362,500"
S02000331,S02000331   Bonaly and Pentlands,89,87,76,105,67,86,107,105,99,140,75,87,83,105,100,52,40,54,62,62,"68,500","75,000","66,250","76,500","79,157","77,000","90,176","117,029","102,000","171,975","175,000","175,000","215,000","235,000","241,000","242,475","218,750","250,000","245,000","248,100","96,000","99,226","95,000","105,000","104,527","104,513","135,531","172,500","133,945","207,000","225,000","238,000","268,000","278,000","299,825","317,500","333,250","298,000","307,500","307,500","119,662","124,116","125,724","120,393","122,812","131,384","149,359","193,115","165,379","229,914","250,934","267,047","294,058","316,689","352,775","355,987","343,489","348,018","346,751","349,585","150,577","155,000","142,325","146,338","145,000","160,250","175,000","208,380","199,945","249,500","297,200","319,530","351,000","385,000","447,663","510,000","473,282","495,333","410,000","415,415"
S02000332,S02000332   South East Bypass,101,72,85,107,110,108,140,198,98,98,111,110,90,112,107,66,43,34,33,42,"50,485","53,905","53,500","56,170","59,862","64,225","57,650","60,000","65,000","70,500","90,000","96,000","107,000","119,000","130,500","150,000","130,000","126,000","130,000","124,000","60,000","62,940","57,000","60,000","70,000","77,500","68,600","76,297","83,813","89,973","115,000","128,550","133,750","140,000","160,000","177,500","167,000","149,000","150,000","152,750","61,986","65,141","59,261","64,013","72,324","81,436","75,628","91,286","85,970","99,407","116,312","135,125","142,846","157,811","166,552","187,351","172,256","160,551","175,453","160,842","70,880","71,500","66,995","71,000","80,000","94,250","81,250","122,500","97,267","119,277","132,777","155,000","167,000","182,998","191,000","215,000","220,000","190,000","230,000","190,000"
S02000333,"S02000333   Gracemount, Southouse and Burdiehouse",48,41,32,41,34,46,45,39,40,63,54,91,97,94,84,47,61,36,30,39,"35,350","34,000","33,750","31,500","29,995","33,000","38,000","35,500","41,250","45,000","56,250","79,000","80,000","89,770","108,500","105,000","115,000","95,000","95,000","99,000","45,000","42,000","43,000","46,850","39,750","42,500","48,550","43,334","47,725","62,250","80,256","95,995","110,000","115,000","131,750","123,000","137,240","117,500","119,750","112,000","48,176","48,356","45,016","52,791","43,778","47,965","54,771","52,807","63,229","85,132","104,674","107,196","115,449","118,809","135,890","129,294","137,344","117,931","129,200","123,154","53,975","55,000","51,750","70,500","48,750","57,000","57,000","58,000","73,000","122,056","145,000","119,995","140,000","140,000","153,130","147,500","146,640","136,000","145,000","135,000"
S02000334,S02000334   Mortonhall,76,102,75,75,76,107,83,66,70,65,73,60,75,84,68,48,34,27,29,32,"45,000","46,750","45,000","48,950","49,998","48,500","55,000","59,500","53,255","67,500","83,500","97,175","103,000","119,500","152,208","153,500","137,000","120,000","132,500","115,000","57,833","57,750","54,500","53,000","68,000","57,950","71,175","82,250","69,975","91,250","107,250","123,500","136,109","165,011","205,025","173,750","156,000","158,000","175,555","150,500","67,183","71,128","68,695","64,902","77,310","72,111","85,919","92,514","93,593","105,400","124,458","153,295","151,534","177,624","218,215","203,665","195,195","194,056","185,138","163,473","74,000","88,000","82,500","77,000","88,250","80,257","107,000","116,000","116,016","122,000","153,950","179,340","195,000","221,250","250,000","237,500","225,000","230,000","217,500","216,250"
S02000335,S02000335   Fairmilehead,103,98,91,115,115,98,79,62,69,59,99,136,107,107,108,71,38,57,43,54,"67,000","69,500","71,000","75,000","76,000","78,103","87,000","92,000","107,500","135,000","163,000","182,000","192,500","224,950","229,975","229,950","240,000","220,000","210,000","203,000","78,515","78,000","96,000","104,000","102,000","100,250","110,000","120,625","139,500","185,000","220,000","259,000","249,999","262,000","308,889","280,000","316,000","281,123","302,000","280,000","99,920","94,771","112,374","120,819","125,335","129,246","144,072","149,172","157,320","201,869","246,925","286,950","313,596","305,678","328,848","312,952","326,889","321,815","335,616","306,888","119,500","107,000","152,500","150,000","160,000","160,000","190,000","165,000","190,000","240,000","308,000","377,500","400,000","377,000","390,000","378,543","445,000","415,000","474,500","412,500"
S02000336,S02000336   Comiston and Swanston,92,135,77,104,105,93,92,99,88,76,78,80,80,81,72,58,40,54,52,44,"76,250","76,500","75,000","78,750","84,500","78,500","91,250","107,500","94,750","132,000","160,000","169,000","187,525","215,011","189,500","248,500","211,000","250,000","212,500","217,750","89,675","93,000","94,000","94,475","102,000","98,000","114,044","131,000","136,800","173,587","211,106","220,500","246,250","250,000","265,056","307,500","266,000","314,000","280,000","270,000","92,482","99,839","99,218","99,617","106,822","108,810","124,966","141,709","140,809","186,462","227,764","232,450","249,111","279,757","272,513","318,239","274,656","321,719","290,630","289,041","110,000","133,153","128,000","116,000","126,058","130,000","150,000","171,500","175,750","234,501","273,313","308,750","320,000","345,000","345,250","384,729","336,279","397,000","334,000","355,889"
S02000337,S02000337   Currie East,42,39,48,45,49,37,36,49,38,48,34,40,36,35,39,31,14,25,25,30,"60,000","65,279","66,875","67,000","72,750","81,325","84,578","92,000","95,000","99,748","135,000","144,825","157,000","184,000","179,995","212,000","170,000","150,000","198,000","187,000","74,175","80,000","79,500","82,000","84,000","95,125","96,500","111,500","120,667","132,085","180,389","184,877","190,000","213,132","237,150","250,000","187,000","185,085","225,000","217,500","75,622","78,362","78,632","82,109","86,497","100,212","103,316","117,234","121,513","134,782","173,654","189,536","195,874","223,517","250,114","258,063","197,143","197,021","225,948","226,425","90,000","92,000","88,858","93,500","99,500","108,000","115,059","140,000","148,850","164,890","210,000","233,250","224,750","241,733","299,000","280,000","215,000","249,995","245,000","250,000"
S02000338,S02000338   Hyvots and Gilmerton Dykes,45,56,44,29,40,44,47,50,91,60,71,73,71,64,96,34,32,31,20,30,"34,000","34,000","37,250","38,000","37,250","36,875","43,000","40,000","50,000","49,000","64,000","75,100","82,000","95,000","115,000","110,000","97,125","89,050","92,530","95,000","39,000","42,000","42,500","41,000","41,750","44,840","46,564","44,600","67,100","60,000","74,177","87,000","95,500","115,000","130,000","130,000","120,000","115,000","113,500","115,000","41,344","46,624","47,895","41,500","49,544","47,684","49,643","51,061","67,667","63,202","82,467","96,300","105,354","118,293","140,610","132,772","118,705","112,902","111,861","120,573","47,500","48,750","50,050","47,000","51,450","59,975","49,995","55,165","78,250","74,375","90,000","105,000","118,500","129,000","154,577","152,000","137,498","128,111","128,250","137,000"
S02000339,S02000339   Currie West,54,54,38,47,44,55,54,49,51,45,47,53,53,50,40,37,33,41,34,32,"52,000","56,000","55,750","57,000","56,153","55,000","67,000","70,000","72,000","90,650","105,225","131,050","130,000","141,151","160,500","159,995","150,000","162,500","155,000","146,250","60,000","60,000","64,250","60,000","67,750","70,000","78,000","81,000","86,000","117,500","126,255","157,259","158,000","162,576","180,000","170,000","165,000","187,800","170,000","170,000","62,026","66,822","69,834","67,590","70,834","71,997","89,118","92,134","92,551","124,091","138,655","162,123","167,113","175,914","198,426","185,401","180,085","201,422","198,176","170,972","68,000","75,000","77,000","78,000","78,975","84,158","105,000","112,000","105,000","145,000","160,000","181,179","192,500","198,000","215,000","180,500","210,000","230,000","222,500","189,013"
S02000340,S02000340   Baberton and Juniper Green,74,74,61,70,80,71,67,71,73,74,68,62,83,112,96,45,31,36,43,40,"54,000","53,000","56,700","55,000","53,750","60,000","60,000","70,000","81,000","93,000","91,500","123,000","130,000","156,500","173,500","160,000","153,000","154,000","160,000","195,500","62,000","66,750","71,000","67,000","68,000","75,000","75,000","94,000","112,537","125,000","130,000","154,105","170,000","212,500","215,000","210,000","195,000","195,000","220,000","240,000","67,591","71,158","74,099","77,296","71,708","80,434","88,205","107,777","112,103","139,460","142,403","174,094","187,114","236,331","237,135","240,252","207,636","227,438","241,500","272,915","75,059","78,000","84,000","87,000","83,750","90,000","105,000","130,000","131,500","159,000","165,000","185,258","209,500","282,500","263,500","299,750","232,080","237,500","280,000","329,500"
S02000341,S02000341   Oxgangs and Firrhill,71,66,70,71,67,78,77,80,134,183,164,198,204,204,170,92,68,82,75,84,"35,000","33,950","35,995","35,750","36,000","37,500","38,000","38,000","49,000","52,500","73,129","80,000","84,000","95,000","107,000","120,000","105,000","111,000","99,000","93,750","42,000","38,500","45,500","45,000","46,500","45,250","45,000","43,725","100,889","95,000","177,550","188,500","134,750","212,500","131,786","148,639","132,500","172,625","135,050","120,000","44,602","41,808","48,220","49,196","47,734","51,650","49,679","79,899","134,666","144,535","181,775","225,556","196,396","217,846","185,122","196,272","175,870","189,541","180,276","166,826","49,000","48,250","53,950","52,550","58,000","56,580","57,000","67,684","204,000","219,000","222,500","290,000","260,000","292,500","265,000","258,867","267,500","250,000","277,500","241,771"
S02000342,S02000342   Liberton East,37,39,111,133,160,144,188,126,137,124,121,94,72,90,107,59,31,50,36,45,"59,000","52,500","65,745","67,995","69,245","70,995","85,925","100,000","92,000","103,000","123,000","124,000","145,000","145,000","162,493","164,000","168,500","179,500","151,250","179,995","65,000","65,000","76,995","77,795","80,998","82,500","105,750","125,533","130,300","130,000","145,000","163,500","185,000","189,500","209,000","195,157","210,000","213,875","183,998","215,000","78,258","64,004","81,865","82,073","90,220","93,863","111,888","130,962","130,373","136,835","157,747","175,667","197,533","205,521","225,601","216,774","216,961","224,280","205,602","211,150","81,000","71,000","95,995","96,995","107,245","115,900","133,250","155,000","158,000","164,500","185,000","220,723","237,000","250,000","265,000","250,000","275,000","260,000","248,500","250,000"
S02000343,"S02000343   Ferniehill,  South Moredun and Craigour",43,72,50,36,51,65,48,46,111,62,72,115,107,84,87,64,36,36,29,33,"38,000","38,750","40,000","40,000","44,950","44,500","44,250","50,500","56,000","59,000","69,828","105,000","97,100","113,300","127,000","125,000","110,000","112,500","125,000","100,000","43,500","44,748","45,000","47,750","49,000","52,000","50,000","58,725","65,750","72,289","88,327","116,599","120,000","129,500","141,000","150,000","127,500","130,261","132,000","122,500","47,104","47,421","49,513","48,135","49,957","54,746","51,108","59,543","69,546","73,777","98,463","122,708","123,159","137,246","149,539","151,050","121,501","127,642","134,043","124,561","57,500","53,125","52,950","55,500","55,500","56,150","55,475","65,000","78,500","82,000","100,887","148,995","148,995","151,000","162,500","177,500","141,500","154,500","145,000","139,000"
S02000344,S02000344   Colinton and Kingsknowe,122,113,102,118,107,108,90,108,100,129,112,108,120,120,100,77,61,52,58,58,"46,000","49,000","51,000","48,500","50,000","52,500","56,000","60,000","69,000","88,000","93,000","107,264","118,975","125,000","156,300","150,000","135,000","135,175","168,000","138,000","55,500","72,500","78,500","56,000","55,000","59,250","79,432","75,500","85,280","122,000","124,128","126,000","141,806","146,612","185,500","179,000","169,500","230,000","277,500","203,000","75,040","85,176","87,957","73,034","80,912","87,316","108,112","117,307","124,094","139,922","156,371","172,425","201,624","220,108","255,771","221,870","235,332","252,866","330,074","229,332","95,000","103,000","110,000","95,000","102,000","105,772","136,677","150,000","167,536","180,000","205,000","222,264","250,000","299,750","312,500","312,000","330,125","363,530","450,000","300,000"
S02000345,S02000345   Moredun,21,21,15,17,16,26,90,42,53,59,50,46,63,41,36,20,19,21,13,21,"37,000","39,950","30,000","37,000","33,000","45,000","73,500","85,000","58,000","60,000","85,100","85,000","110,000","115,000","131,500","115,500","122,000","124,000","127,000","120,000","45,000","46,000","44,950","55,900","53,475","50,500","80,750","94,000","71,000","79,000","113,557","101,000","144,995","128,950","148,250","131,500","135,000","142,000","151,500","139,000","47,879","53,358","45,167","55,493","53,740","58,789","79,976","88,986","75,591","78,677","114,247","107,878","133,562","136,697","156,028","155,134","147,789","146,959","163,385","168,684","48,500","72,000","48,500","65,500","69,500","69,500","89,000","101,000","92,000","96,500","131,242","130,000","150,000","155,000","182,500","194,000","168,000","165,000","178,000","210,000"
S02000346,S02000346   Liberton West,61,66,66,68,56,87,69,58,69,44,77,59,54,66,51,48,26,25,39,34,"47,000","52,500","60,000","74,500","54,950","57,250","70,000","70,000","80,000","91,825","99,450","122,500","166,841","137,500","141,141","143,000","123,500","132,000","145,000","205,000","79,000","80,054","93,250","96,218","79,825","95,000","117,000","135,575","140,000","137,725","126,051","220,000","248,500","250,000","234,000","250,000","257,750","250,000","250,000","252,500","78,514","84,868","92,370","97,970","87,707","98,430","118,278","134,431","142,377","147,345","159,110","224,456","246,206","260,670","257,618","259,741","253,048","257,015","250,000","269,282","106,000","115,000","128,000","117,000","122,250","125,000","160,000","175,513","178,000","186,250","197,000","302,000","306,500","335,000","332,500","342,500","365,000","325,000","320,000","339,000"
S02000347,S02000347   Braids,86,60,70,102,96,76,69,61,58,72,56,59,60,76,71,38,40,32,45,51,"80,744","89,250","101,000","100,000","117,072","129,250","151,000","156,500","155,000","186,250","230,116","260,000","222,500","247,498","282,000","301,450","291,500","320,000","305,125","277,500","117,425","120,000","119,638","131,067","142,160","150,500","200,000","195,000","202,129","245,000","305,000","360,000","317,500","322,500","404,570","412,500","355,550","402,500","391,000","405,000","119,435","122,236","129,327","139,718","155,481","164,047","210,145","202,026","209,181","260,791","311,530","350,658","326,918","376,956","410,745","441,596","366,564","397,178","393,265","403,223","147,000","149,500","152,000","175,000","196,525","214,000","260,000","249,750","250,000","313,057","377,500","425,000","441,584","472,000","526,000","562,960","441,197","510,250","461,275","500,000"
S02000348,S02000348   Clovenstone and Drumbryden,12,38,9,16,61,20,18,49,57,55,40,58,51,78,85,67,33,32,26,20,"24,100","22,000","25,500","24,225","35,500","24,000","25,000","29,995","34,000","31,000","32,998","40,000","55,000","60,000","83,000","87,750","90,950","72,500","65,000","57,500","28,750","27,500","25,950","27,500","38,000","31,750","29,850","38,000","38,500","36,000","39,250","57,031","65,000","72,475","95,000","103,000","106,058","84,000","75,006","66,750","29,386","27,865","28,338","31,478","38,747","32,257","30,545","39,572","42,695","41,997","46,412","59,522","67,864","75,897","95,370","104,521","111,871","83,958","81,008","75,665","33,026","30,000","31,500","32,750","44,000","37,750","32,000","49,000","56,700","55,000","52,925","73,000","79,500","82,000","107,000","119,000","125,000","97,500","93,200","94,500"
S02000349,S02000349   The Inch,57,52,46,60,45,73,73,76,86,165,120,114,95,115,106,84,53,48,49,56,"39,000","39,500","38,500","40,000","41,500","39,950","46,000","45,500","50,000","62,250","71,778","85,000","90,000","105,000","120,000","112,250","102,000","107,750","100,000","90,000","47,000","48,723","52,950","49,501","48,000","49,500","55,500","57,875","59,250","88,500","88,944","99,725","105,000","128,000","139,000","135,000","125,000","124,975","111,000","124,999","52,191","50,346","57,727","53,287","50,384","60,405","56,515","57,962","69,623","89,579","97,408","109,966","109,494","134,457","146,451","140,392","127,617","131,975","119,475","121,649","54,000","57,250","60,000","57,750","53,000","60,000","64,950","68,350","76,000","105,000","115,000","126,000","126,000","141,230","160,000","162,500","145,000","146,175","127,500","139,600"
S02000350,S02000350   Calders,39,42,27,38,32,58,44,104,47,70,80,76,71,75,72,60,28,27,28,30,"29,995","29,000","30,000","29,500","31,375","29,500","29,975","32,750","31,000","34,500","42,250","51,500","62,080","73,000","91,088","89,250","86,000","78,000","68,250","62,500","33,000","31,750","33,500","31,250","33,500","39,000","32,500","37,498","34,500","38,500","50,000","58,058","70,000","80,000","100,000","99,000","95,000","90,995","82,500","74,750","35,154","34,346","35,318","34,012","39,980","40,273","36,008","38,991","39,758","45,950","55,802","63,139","77,254","99,357","107,013","104,845","103,179","96,333","87,777","86,010","40,500","38,750","38,000","35,000","43,750","53,495","40,975","44,500","44,000","50,000","67,025","67,750","88,288","110,000","120,798","115,000","126,000","115,000","110,000","105,000"
S02000351,S02000351   Craiglockhart,113,125,133,102,140,118,127,105,119,133,126,99,115,129,248,131,81,92,86,74,"50,700","64,100","67,500","64,250","76,737","73,000","71,250","86,500","87,500","98,000","121,121","157,500","148,000","149,950","201,000","202,193","175,000","192,000","200,000","155,000","81,500","89,500","91,000","97,000","113,156","105,138","82,082","146,607","160,000","145,000","205,251","250,000","260,000","225,000","250,000","272,720","250,000","308,750","260,800","239,000","85,938","97,736","97,017","104,623","118,919","118,590","116,680","156,721","156,958","191,287","228,230","239,843","260,685","246,384","318,679","305,175","268,990","331,382","301,836","294,795","109,050","119,500","125,000","129,000","150,000","146,111","148,300","190,000","200,000","262,000","275,000","299,995","335,500","325,000","374,500","386,529","340,000","408,025","360,000","357,500"
S02000352,S02000352   Craighouse and South Morningside,175,208,147,155,186,188,184,154,150,165,104,143,146,164,139,78,76,87,71,89,"44,500","50,750","50,500","49,500","52,500","54,875","59,725","67,000","68,500","78,730","116,550","105,165","115,000","130,944","145,000","143,000","157,500","142,000","145,000","134,000","54,000","63,325","66,000","60,000","67,250","69,005","75,000","85,000","89,980","115,000","141,629","145,000","158,873","169,000","185,000","182,475","205,900","187,000","205,000","175,000","62,397","84,131","91,638","81,141","82,308","89,464","103,143","114,094","122,297","150,706","179,469","178,845","200,073","221,788","233,910","211,607","247,840","261,681","258,082","209,199","66,000","122,411","124,000","97,000","90,600","97,700","100,750","117,000","135,000","176,000","231,000","195,519","250,000","271,082","247,650","229,950","345,000","350,525","350,000","246,000"
S02000353,S02000353   Parkhead,66,74,57,54,63,64,72,75,76,110,91,73,101,98,101,58,28,23,24,28,"38,000","39,000","38,000","38,750","40,500","40,500","42,000","44,000","46,063","54,000","64,000","80,500","87,000","95,500","116,000","122,000","109,000","105,000","95,000","90,000","40,575","41,749","41,600","42,000","44,000","44,725","45,000","50,050","52,000","60,000","75,150","86,000","95,000","109,250","125,000","128,507","119,250","115,000","110,000","98,975","42,245","42,332","41,990","41,916","43,978","45,408","46,819","50,245","52,175","60,519","73,769","86,888","94,533","106,874","126,383","129,221","124,768","109,478","102,812","99,668","44,000","45,000","46,000","45,000","48,000","48,500","51,500","56,000","56,750","68,000","83,000","95,000","105,000","120,000","138,000","137,000","131,000","124,000","118,000","105,500"
S02000354,S02000354   Greendykes and Niddrie Mains,10,7,51,17,18,14,18,41,42,41,19,30,43,82,138,58,11,44,23,20,"54,750","27,000","23,950","28,950","26,250","35,000","34,500","34,000","39,000","45,100","55,100","66,500","65,550","105,000","128,997","120,000","102,500","110,000","92,000","93,500","60,000","60,000","27,950","33,750","34,725","40,975","35,000","34,950","42,250","53,600","65,000","75,750","85,000","137,600","150,000","155,265","112,500","136,500","115,000","119,750","67,842","51,282","28,501","43,920","51,762","50,452","51,896","36,601","48,584","57,981","69,564","81,311","91,132","129,515","159,992","151,970","125,591","146,615","125,712","118,838","75,000","65,027","28,450","60,000","60,000","66,750","39,000","35,000","51,500","62,600","72,500","82,500","110,000","150,000","162,000","171,000","150,000","160,000","165,000","136,875"
S02000355,S02000355   Blackford,152,136,131,128,145,156,160,147,171,143,122,133,178,186,213,110,71,100,90,97,"60,000","66,325","64,000","70,000","68,000","73,750","73,319","75,150","91,000","120,000","135,500","150,051","187,000","180,000","182,000","203,500","217,500","163,750","182,500","170,000","73,500","84,000","85,857","80,000","84,950","91,584","106,139","105,600","135,000","168,750","191,575","195,000","245,000","249,000","224,500","268,000","263,000","242,000","240,278","234,000","89,591","102,577","98,310","94,016","102,154","124,971","124,387","135,714","151,392","198,526","233,736","241,311","282,288","286,017","279,571","337,482","321,881","269,389","305,481","291,696","105,000","129,500","135,000","100,050","126,856","137,027","150,000","165,000","186,250","242,000","278,101","309,013","350,000","340,000","330,000","440,000","390,000","318,525","431,240","340,000"
S02000356,S02000356   Longstone and Saughton Mains,33,36,32,46,49,35,55,53,57,37,41,57,66,66,61,45,24,30,23,18,"35,950","38,875","37,000","39,500","39,750","41,000","43,000","43,117","44,500","55,267","60,000","80,000","83,000","90,000","105,000","120,000","105,000","100,000","89,000","95,000","42,000","50,500","50,000","48,500","51,000","53,000","52,000","55,000","55,950","78,000","75,000","95,977","95,080","117,500","125,000","131,050","116,000","130,084","110,000","114,000","46,228","53,084","52,225","49,950","52,564","54,664","63,089","60,516","59,952","85,692","88,285","112,196","108,812","121,917","135,533","146,775","116,422","132,447","126,826","127,077","55,000","60,000","60,000","56,500","60,000","66,000","64,100","74,000","72,000","105,000","96,250","130,495","134,158","150,000","152,000","175,000","131,000","170,000","162,500","167,167"
